# BLOCK:        DISTANCE:        ACTUAL_GOFR:
           9     1.23118     1.39514
           9     1.25683     1.27432
           9     1.28248     1.11863
           9     1.30813     1.00929
           9     1.33378    0.947646
           9     1.35943    0.856701
           9     1.38508    0.788122
           9     1.41073    0.762689
           9     1.43638    0.730665
           9     1.46203    0.675313
           9     1.48768    0.692979
           9     1.51333    0.683988
           9     1.53898    0.668364
           9     1.56463     0.68418
           9     1.59028    0.710791
           9     1.61593    0.705785
           9     1.64158    0.722575
           9     1.66723    0.725385
           9     1.69288    0.730158
           9     1.71853    0.794501
           9     1.74418    0.817919
           9     1.76983    0.859252
           9     1.79547    0.877777
           9     1.82112    0.924968
           9     1.84677     0.95246
           9     1.87242     1.01448
           9     1.89807     1.03819
           9     1.92372     1.07948
           9     1.94937     1.12906
           9     1.97502     1.16337
           9     2.00067      1.1903
           9     2.02632     1.22298
           9     2.05197     1.23256
           9     2.07762     1.24366
           9     2.10327     1.22479
           9     2.12892     1.19074
           9     2.15457     1.20478
           9     2.18022     1.16872
           9     2.20587     1.11404
           9     2.23152      1.0655
           9     2.25717     1.05391
           9     2.28282     1.03408
           9     2.30847      0.9926
           9     2.33412     0.98631
           9     2.35977    0.971135
           9     2.38542    0.949255
           9     2.41107    0.918656
           9     2.43672      0.9154
           9     2.46237    0.899885
           9     2.48802    0.896908
           9     2.51366    0.899007
           9     2.53931    0.886866

          10           0           0
          10   0.0256496           0
          10   0.0512993           0
          10   0.0769489           0
          10    0.102599           0
          10    0.128248           0
          10    0.153898           0
          10    0.179547           0
          10    0.205197           0
          10    0.230847           0
          10    0.256496           0
          10    0.282146           0
          10    0.307796           0
          10    0.333445           0
          10    0.359095           0
          10    0.384745           0
          10    0.410394           0
          10    0.436044           0
          10    0.461694           0
          10    0.487343           0
          10    0.512993           0
          10    0.538642           0
          10    0.564292           0
          10    0.589942           0
          10    0.615591           0
          10    0.641241           0
          10    0.666891           0
          10     0.69254           0
          10     0.71819           0
          10     0.74384           0
          10    0.769489           0
          10    0.795139           0
          10    0.820788           0
          10    0.846438           0
          10    0.872088  0.00137558
          10    0.897737    0.023212
          10    0.923387    0.173653
          10    0.949037    0.567714
          10    0.974686     1.17589
          10     1.00034      1.9469
          10     1.02599     2.43334
          10     1.05164     2.58694
          10     1.07728     2.58835
          10     1.10293     2.40848
          10     1.12858     2.26686
          10     1.15423     1.90901
          10     1.17988      1.6926
          10     1.20553     1.50201
          10     1.23118     1.34022
          10     1.25683     1.17574
          10     1.28248     1.05248
          10     1.30813     1.01987
          10     1.33378    0.960656
          10     1.35943    0.893484
          10     1.38508    0.794572
          10     1.41073    0.739796
          10     1.43638     0.69606
          10     1.46203    0.713957
          10     1.48768    0.687429
          10     1.51333    0.697092
          10     1.53898    0.693907
          10     1.56463      0.6905
          10     1.59028    0.665717
          10     1.61593    0.715828
          10     1.64158    0.705743
          10     1.66723    0.732789
          10     1.69288    0.777637
          10     1.71853    0.796945
          10     1.74418    0.841136
          10     1.76983    0.863568
          10     1.79547    0.910709
          10     1.82112     0.93936
          10     1.84677    0.975221
          10     1.87242     1.07072
          10     1.89807     1.09295
          10     1.92372     1.09833
          10     1.94937     1.12499
          10     1.97502     1.14691
          10     2.00067     1.19057
          10     2.02632     1.18577
          10     2.05197     1.21027
          10     2.07762     1.19952
          10     2.10327     1.24205
          10     2.12892     1.20997
          10     2.15457     1.16816
          10     2.18022     1.11503
          10     2.20587     1.09974
          10     2.23152     1.06199
          10     2.25717      1.0306
          10     2.28282     1.00868
          10     2.30847    0.986943
          10     2.33412    0.968233
          10     2.35977    0.946659
          10     2.38542    0.944017
          10     2.41107    0.932682
          10     2.43672    0.914587
          10     2.46237    0.892776
          10     2.48802    0.899951
          10     2.51366     0.87623
          10     2.53931    0.879142

          11           0           0
          11   0.0256496           0
          11   0.0512993           0
          11   0.0769489           0
          11    0.102599           0
